ID,GROUP NO,DESCRIPTION,FUNC,UNIT,TYPE,SENSOR TYPE,ALARM GROUP,INPUT CH,INHIBIT ID,OUT CH,EAU GROUP,RANGE MIN,RANGE MAX,LOW ALARM,HIGH ALARM,OFFSET,SPAN,ON DELAY,OFFDELAY,CONTROL,ENABLE,ALARM LEVEL,VDR,LOLO (INDICATOR),LOW ,HIGH,HIHI,ALARM PRINTER,LOLO ALARM,HIHI ALARM,ONDELAY2,OFFDELAY2,MEAN ID,INPUT ID
252,GB16,NO.2 G/E OIL PRESS.,IND,BAR,4,0,8,4544,241,0,4,0,8.9,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
253,GB17,NO.2 G/E COOLANT TEMP.,IND,━C,4,0,8,4545,241,0,4,-40,120,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
254,GB18,NO.2 G/E SPEED,IND,rpm,4,0,8,4546,241,0,4,0,8032,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
255,GC01,HARBOUR G/E EM'CY  STOP,XC,,1,0,9,404,0,0,4,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
256,GC02,HARBOUR G/E SYSTEM ERROR,XC,,1,0,9,405,0,0,4,0,0,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
257,GC03,HARBOUR G/E REMOTE MODE,XA,,2,0,9,5561,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
258,GC04,HARBOUR G/E LOCAL MODE,XA,,2,0,9,5562,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
259,GC05,HARBOUR G/E SELECT OFF,XA,,2,0,9,5563,0,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
260,GC06,HARBOUR G/E READY FOR START,XA,,2,0,9,5564,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
261,GC07,HARBOUR G/E RUNNING,XA,,2,0,9,5565,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
262,GC08,HARBOUR G/E COMMON ALARM,XA,,2,0,9,5566,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
263,GC09,HARBOUR G/E COMMON SHUTDOWN,SHA,,2,0,9,5567,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
264,GC10,HARBOUR G/E START FAIL,XA,,2,0,9,5568,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
265,GC11,HARBOUR G/E OVERSPEED SHUT DOWN,SHA,,2,0,9,5569,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
266,GC12,HARBOUR G/E LOW OIL PRESS.,XA,,2,0,9,5570,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
267,GC13,HARBOUR G/E LOW OIL PRESS. SHUTDOWN,SHA,,2,0,9,5571,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
268,GC14,HARBOUR G/E HIGH COOLANT TEMP.,XA,,2,0,9,5572,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
269,GC15,HARBOUR G/E HIGH COOLANT TEMP. SHUTDOWN,SHA,,2,0,9,5573,259,0,4,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
270,GC16,HARBOUR G/E OIL PRESS.,IND,BAR,4,0,9,5574,259,0,4,0,8.9,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
271,GC17,HARBOUR G/E COOLANT TEMP.,IND,━C,4,0,9,5575,259,0,4,-40,120,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
272,GC18,HARBOUR G/E SPEED,IND,rpm,4,0,9,5576,259,0,4,0,8032,0,0,0,0,0,0,257,1,0,0,0,0,0,0,1,0,0,0,0,0,0
273,ES01,MSBD COMMON ABNORMAL ,XA,,1,0,10,600,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
274,ES02,EM'CY GEN. COMMON ABNORMAL ,XA,,1,0,10,601,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
275,ES03,BATTERY CHARGER ABNORMAL,XA,,1,0,10,602,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
276,ES04,PMS ABNORMAL,XA,,1,0,10,603,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
277,ES05,ESBD ABNORMAL,XA,,1,0,10,604,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
279,ES11,PUBLIC ADDRESSOR SYSTEM FAILURE,XA,,1,0,10,606,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
280,ES12,FIRE POWER FAILURE,XA,,1,0,10,608,0,0,6,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
281,ES13,FIRE ALARM SIGNAL,XA,,1,0,10,608,0,0,6,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
282,ES14,FIRE SYSTEM FAULT,XA,,1,0,10,609,0,0,6,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
284,ES16,BCC MAIN SOURCE FAILURE,XA,,1,0,10,700,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
285,ES17,BCC EM'CY SOURCE FAILURE,XA,,1,0,10,701,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
286,ES18,BCC DC SOURCE FAILURE,XA,,1,0,10,702,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
287,ES19,ECC MAIN SOURCE FAILURE,XA,,1,0,10,703,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
288,ES20,ECC EM'CY SOURCE FAILURE,XA,,1,0,10,704,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
289,ES21,ECC DC SOURCE FAILURE,XA,,1,0,10,705,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
338,ES66,NO.1 GEN. AUTO SYNCHRONIZING FAILURE,DI,,2,0,10,9746,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
339,ES67,NO.2 GEN. AUTO SYNCHRONIZING FAILURE,DI,,2,0,10,9747,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
340,ES68,NO.3 GEN. AUTO SYNCHRONIZING FAILURE,DI,,2,0,10,9748,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
341,ES69,NO.1 GEN. ACB ABNORMAL TRIP,DI,,2,0,10,9749,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
342,ES70,NO.2 GEN. ACB ABNORMAL TRIP,DI,,2,0,10,9750,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
343,ES71,NO.3 GEN. ACB ABNORMAL TRIP,DI,,2,0,10,9751,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
344,ES72,NO.1 GEN. ACB NON CLOSE,DI,,2,0,10,9752,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
345,ES73,NO.2 GEN. ACB NON CLOSE,DI,,2,0,10,9753,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
346,ES74,NO.3 GEN. ACB NON CLOSE,DI,,2,0,10,9754,0,0,5,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
361,MP05,OILY WATER SEPARATOR ABNORMAL ,XA,,1,0,12,800,0,0,3,0,0,0,0,0,0,0,0,259,1,1,0,0,0,0,0,1,0,0,0,0,0,0
